Position Title,Average Gross Pay
ACC TO JUS SPV & ASSOC COUNSEL,31626.27
ACCOUNT CLERK,4479.85
ACCOUNT CLERK III,17706.82
ACCOUNTABILITY DATA MANAGER,67123.0
ACCOUNTANT,40997.596
ACCOUNTANT I,38786.53857142857
ACCOUNTANT II,31755.41875
ACCOUNTANT MANAGER,86150.88642857142
ACCOUNTANT SUPERVISOR,70579.104
ACCOUNTING ANALYST I,44347.5
ACCOUNTING CLERK,14359.625
ACCOUNTING EXECUTIVE,99437.64
ACCOUNTING GENERALIST I,8389.63875
ACCOUNTING GENERALIST II,18860.206666666665
ACCOUNTING SPECIALIST,30305.213333333333
ACCOUNTING SPECIALIST I,19415.64
ACCOUNTING SPECIALIST II,20823.39
ACCOUNTING SPECIALIST III,20042.888
ACCOUNTING SUPERVISOR II,70630.86
ACCOUNTING TECHNICIAN,11157.869999999999
ACCOUNTS ASSISTANT,24406.825450643777
ACCOUNTS CLERK,36034.90666666667
ACCOUNTS SUPERVISOR,46798.742580645165
ACCREDITED EXAMINER,39192.59625
ACCTNG ANALYST I,55806.82
ACJ PRINCIPAL MGMT ANALYST I,63731.65
ACTING EXECUTIVE DIRECTOR,20639.23
ACTING STATE LIBRARIAN,9136.0
ACTIVITIES DIRECTOR,21973.735
ACTUARY,169946.87666666668
ADDICTION COUNSELOR,33906.02296296296
ADDICTION COUNSELOR MANAGER,65919.222
ADDICTION COUNSELOR SUPERVISOR,57502.055
ADMIN & CONSTITUENT SERV COORD,25521.67
ADMIN ASST STAFF,61285.92999999999
ADMIN ASST TO GENERAL COUNSEL,57426.73
ADMIN OF FREIGHT & WATERWAYS,114383.57
ADMIN OFFICE SUPPORT ASSISTANT,30661.810625000002
ADMIN PROFESSIONAL - TPT,22633.290384615386
ADMIN SUPP ASST,11974.842999999999
ADMIN SUPP PROF,14734.816153846154
ADMIN SUPPORT ASSISTANT,28004.072281651996
ADMIN SUPPORT CLERK HOURLY,15268.394705882352
ADMIN SUPPORT PROFESSIONAL,42420.57830670926
ADMIN TECHNICIAN - TPT,15054.639411764705
ADMIN/OFFICE SUPPORT,43479.06333333333
ADMINISTATIVE AIDE II,10194.0
ADMINISTRATIVE AIDE III,32248.593333333334
ADMINISTRATIVE ANALYST II,31775.0
ADMINISTRATIVE ANALYST III,36809.04
ADMINISTRATIVE ARCHIVIST,54504.0
ADMINISTRATIVE ASSISTANT,22531.79195945946
ADMINISTRATIVE ASSISTANT I,25879.213333333333
ADMINISTRATIVE DIRECTOR,40063.825
ADMINISTRATIVE LAW JUDGE,120813.24653846155
ADMINISTRATIVE MANAGER,70794.20823529412
ADMINISTRATIVE SECRETARY,38061.834
ADMINISTRATIVE SERVICES COORD,68426.66
ADMINISTRATIVE SPECIALIST,40234.5
ADMINISTRATIVE SPECIALIST I,26074.126
ADMINISTRATIVE SPECIALIST II,28147.51
ADMINISTRATIVE SPECIALIST III,54373.98
ADMINISTRATIVE SUPERVISOR,49572.5
ADMINISTRATIVE SUPPORT CLERK,23667.698490832157
ADMINISTRATIVE SUPPORT I,44572.06
ADMINISTRATIVE TECHNICIAN,25057.979375
ADMINISTRATOR,148898.515
ADMINISTRATOR OF AVIATION,114383.57
ADMINISTRATOR OF RAILROADS,114383.57
ADMINISTRATOR OF TRANSIT,114383.57
ADVANCED EMERGENCY MGMT OFCR,48189.94
ADVANCED MIL SECURITY OFCR,33737.6
ADVANCED SECURITY OFFICER,35376.55235294118
AGENCY BUDGET ANALYST,46166.662307692306
AGENCY BUDGET SENIOR ANALYST,54441.527428571426
AGENCY BUDGET SPECIALIST,47174.7675
AGENCY BUDGET SR. ANALYST,45459.54
AGRIBUSINESS MANAGER,67872.46882352942
AGRIBUSINESS SUPERVISOR,60632.77333333334
AGRICULTURAL INSPECTOR,27372.73176470588
AGRICULTURAL MARKET SPECIALIST,38268.293333333335
AGRICULTURE LIAISON,23451.0
AIRCRAFT MAINTENANCE SPEC,32028.0
AIRCRAFT MAINTENANCE SUPERVISR,33345.095
AIRCRAFT MECHANIC,57067.74085714285
AIRCRAFT PILOT,66436.5
AIRPLANE PILOT,84805.36
AIRPORT PROJECT TECHNICIAN,47804.94
APP AND SUPT DEV MGR,73818.28000000001
APP DEV SPVR (NON-TECH),85573.67
APPEALS COURT LIBRARIAN,65864.545
APPELLATE COUNSEL,71886.39
APPELLATE JUDGE,166420.82
APPLICATION DEV SUPERVISOR,98556.16
APPLICATION DEVELOPER,58188.41333333333
APPLICATION DEVELOPMENT LEAD,83676.975
APPLICATION DEVELOPMENT SPEC,46920.22166666667
APPLICATION SPVR II,88333.405
APPLICATION SUPPORT TECH,25039.596666666668
APPLICATION SUPPORT TRAINEE,22897.63
APPLICATION SUPV,71819.46
APPLICATIONS DEVELOPER,58383.42262711864
APPLICATIONS DEVELOPMENT MGR,87642.81
APPLICATIONS DEVELOPMENT SPEC,76328.85833333334
APPRAISAL & ASSESSMENT MANAGER,61012.66499999999
APPRAISAL & ASSESSMENT SPV/SPC,49705.348
APPRENTICE COURT CLERK,18433.905761589405
AQUATIC ANIMAL HLTH SCIENTIST,51081.5
AQUATIC SYSTEMS MANAGER,91554.0
ARCHAEOLOGIST,45520.227999999996
ARCHITECT,74419.00857142857
ARCHITECT CONSULTANT,46698.25
