Polarity,Text
Negative,الأصدار الجديد للفيس فعلا كل مره بيذداد سوء انا كرهت التطبيق بسبب البطء والملل الشديد ياريت حد يهتم برأينا:-(
Negative,بطىء جدا وتحديثاته مملة يجب تحسين التحديثات ثانيا يجب اغلاق اي حساب عندة البلاغ علية ويحذر الشخص مرتين وبلاغ الثالث تغلق للحسابات التي تدعو للعنف والطاءفية وشكرا
Negative,ع طول فى انتظار الاتصال بالشبكه والتحديث تقيل جدااااا ع الجهاز مع ان النت كويس جدا ياريت تعبرونا بقا كل الناس اللى بتعلق دى محدش بيعبرها ولا بتهتموا بتعليقاتها
Negative,الاصدار الاخير سئ جدا جدا انتو بتحدثو ولا بتفسدو الابلكيشن بقى سيئ جدا ياريت التعامل مع مشاكل التطبيق وحلها ومراعاة المستخدمين والاهتمام
Negative,عم يعلق الجهاز قبل التحديث ماكان في مشكلة اما بعد التحديث صار ثقيل الجهاز وعم يعلق ارجو حل المشكلة ارجو تعديله وارجاع استقبال الرسائل بدون اي تطبيقات أخرى بدون مسنجر
Negative,سيئ صاير بقرف ماعم يسجل دخول وما عم يعد اللغه العربية الرجاء حل المشكلة
Negative,الواحد لو حب يدخل علي حسابه تطلع عيون اهله واذا حب يعمل حساب جديد بالضبط زي اللي سا قط قيد ولسه هيطلع ورق من جديد عايز صوره اثبات من هويتك الشخصيه موثقه من جهة حكوميه وماضي عليها اتنين موظفين او بطاقتين لعضوية نادي او غيره حد يرد ارجو الايضاح
Negative,ك برنامج تواصل جميل اما يوجد مشكلة في تاخر وصول رسائل الدردشة من غير الاصدقاء وعدم تشغيل خاصية البث المباشر ارجو معالجة الامر
Negative,ما اعرفش ليه بيسجل خروج بدون اذني ليه التحديث زفت نيله خالص الفديو اول التشغيل يفصل لوحده وبعدها تضغط تشغيل تاني ايه الملل ده
Negative,"برنامج فاشل بطيء بالتنزيل ميزات والتحديثات الجديده فاشله تقييمي للبرنامج 0% بطيء جدا يستغرق وقت كثير،أرجو التحسين للأفضل ""فاشل"""
Positive,الحقيقه والواقع برنامج جيد وذلك يقوم بتحديث الفيس بشكل جيد وتحيه طيبه للجميع
Negative,تحديث كل يوم تحديث ومش شايف فيه جديد وفيه مشكلة مش بتتحل ليه لما بنزل صوره على الفيس ليه بيدخل على الصوره علطول المفروض يدخل على الاستوديو
Negative,Problem لما بكون عم احكي عل مسنجر وبحط عرض الصفحة الشخصية ما بيبن شي كان ابل تطلع صفحتو يلي عم احكي معو بتمنا تنحل هل مشكلة وياربت فيني احي رسائل من دون مانزل المسنجر
Negative,بطيء جدا جدا فيه بطء .. حاجه ممله على الاخر بسبب التحديثات كل مره بيزيد عن اللي قبلها
Positive,التطبيق جميل جدا ويستاهل أكثر من 5 انجوم
Negative,عملت نجمة حتى اقدر اعلق طبعا زبالة ولايوجد اللغة عربية
Negative,سيء جدا جدا بطيء مايستاهل نجمة
Negative,تركيا انصحكم لاتنزلو هالبرمامج لأنو زبالة زبالة زبالة ومايسوى فرنك هاذا موتحديث هاذا تجحيش وهاي 5نجوم موللبرنامج مايستاهل شي بس هاي منشان ماحدا يتورط مثلي
Negative,البرنامج زفت اسؤ من الاول الاصدار القديم كان احسن
Negative,كان الاول سريع وحلوا انا دلوقتى بطئ جدا ومش بيفتح بسرعه وكمان. مش بيبعت الصور فى الردود والكومنتات والدردشه ياااريت التعديل بسرعه
Negative,اليمن كان جميل جدا وسريع بس كان فيه عيب ان الفديو ما يفتحش شاشة كامله اما اﻻن صار ثقيل جدا اتمنى اصلاحه
Negative,سئ جدا بعد تحديثه نسخه الاخيره المحدثه حاجه زفت ما بيفتح الا بعد ساعه وتحميله بطئ جدا
Positive,روعه ولكن لا يتيح لي الاطلاع الا على مئة تعليق فقط وينقصه خاصية النسخ واللصق بشكل عام انصح به😉
Negative,زباله من لام نزلت التحديث الجديد ارجو حل المشكله مش راضي يفتح عندي من البطئ
Negative,Egypt برنامج السراحه زباله وأزبل من كده مفيش والبرنامج الثاني والماسجر الاثنان أزبل. من بعض مفيش ولا برنامج عدل يا رب (يصمموا برنامج فيس بوك غير الاثين ويكون أسرع منها ويكون دائمآ مجانآ عشان السراحه الواحد زهئ من المعامله الزباله)
Negative,وحش جدا بعد التحديثات بقا بطئ جدا بعد ماكان سريع والاشعارات لم تعد مثل الاول 😔
Negative,البرنامج الو اكتر من ساعتين عم يحمل تا يفتح الحساب وما فتح شو هالبرنامج هاد تافه شو لو اختراع الذره كان خلصت
Negative,سيء جداً تباً لكم زااريد ان اقول اكثر من هذا فانحن برمضان الفيس القديم كان افضل
Positive,أنصح بتحميله جميل جدا ومساحته صغيره خفييييف جدا علي الجهاز ومش بيخليه تقيل بجد يستاهل عشر نجوم
Positive,رائع فقط تحسينه في تكبير الخط فرغم الترڨيل يبقى ضعيف ولا يرى بوضوح . جميل جدا
Positive,كويس بس لو تقدرو تخليه ينزل فيديو كمان يخود 5 نجوم
Positive, قووووووة لو زيد فية شويت تحسينات من التعليقات وغير ذالك
Positive, جميل جدا ويتصف بالسرعة تطبيق كامل ومدهش انصح بالتحميل فورا
Negative, البرنامج مع التحديثات الجديدة صارت المقاطع الفيديو يعلقن وما يشتغلن وبرغم وجود الشبكة 4G .... الرجاااء إصلاح المشكله في اسرع وقت
Positive,البرنامج كتير حلو بنصحكون تنزلو اول ما بتفتح البرنامج ما بتفهم عليه شي ،بس بعدين بتتعلم وبتتعود عليها حلوة.
Positive,التطبيق مرررره حلووو يعني برنامج يجنن وربي حلووو
Negative,فــــَـــاشْــــــل اول حاجه ماهو عربي وعند التحميل وانشاء الحساب غير تغير اللغه بالجهاز وبعد كذا جميع الاعدادات انجليزي بس اسمك فقط يتحول عربي …… ليش بنقاليه حنا .. والشي الثاني مقاطع الفديو يقصها… ليش ع كيف ابوك تقصها والا .. فاشل بقوه وبس
Negative,ابغى أضيف اصدقاءي حول 50 واحد مايقدر ولااكثر برنامج خايس ويعطي بلوك جعل البلوك ينفك في روسكم ارجو المساعده وعدم عمل البلوك حتى أعطيه خمس نجوم
Positive,يحتاج الى تعديل بسيط وهو ان نستطيع نسخ التعاليق وحفظ الصور
Negative,فيه مشكلة من لما طلع التحديث الجديد ومش راضي يفتح ﻻصور تضهر وﻻموجز دايم يقول تعذر تحديث الموجز عل الرغم من ان عندي الشبكة فل وسرعة النت ممتازة وكل شي يشتغل فيس يوتيويب وتس فيبر وكل شي اﻻ اﻻنستقرام ماراضي يشتغل وجربت حذفت البرنامج ورديته ومارضي يشتغل
Negative,انا عندي مشكله انا كنت مثبت تطبيق الانستجرام و مسحته بالخطأ و قمت بتثبيته مره اخري لكنه يظهر لي بالشكل القديم وليس بالتحديث الاخير وقمت بأزالته وتثبيته مره اخري لكن لا يعطني شيئ برجاء الرد.
Negative,خلود الصانع هو برنامج حليل بس فااااااااششششششششلللل من ناحيه انه بس يطلع الناس من حساباتهم !!وكل ماسويت لايك او تعليق قال لازم تظخل الرقم واذا دخلت الرقم قال خطأ سلامات ؟؟!!
Positive,شكرا انستقرام تعودنا عالتحديث الجديد بس اتمنى يتغير الشكل من بره .. مرات يعلق ويتسكر بروحه ثقيل شوي .. نبي خاصية تحميل الصور والفيدهات وتمكين الروابط بس بشكل عام جيد جدا
Negative,عندي مشكله واحتاج مساعده هذي خامس مره أول الاستقرار في وقت واحد وكل ما نزل مو راضي يفتح حسابي ولا راضي أنه اسوي حساب جديد وابغى من طريق وشوفوا وش الحل ظرووووري 😢
Negative,أرجو حل المشكله بأسرع وقت ياخي انا كل ما اعلق او اكتب بل كومنت تطلعلي رساله والكومنت ما يروح وش السوات ياجماعه الخير
Positive,البرنامج ممتاز جدا. ...بس هناك مشكلة نسخ الصوره....وتحميل المقطع. ..لا يعمل...ارجو إضافة هذه الخاصية ولكم جزيل الشكر والتقدير والاحترام. ..
Positive,برنامج جيد الى كل من يبحث عن تحميل مقاطع وصور ونسخ ولصق ابحث عن النسخه المعدله بمتصفح غوغل og رهيبه احسن من التطبيق الرسمي السخيف هاد
Negative,التحديث افشل تحديث شفته بحياتي انا انزل ياستغرامي صور واول ما ادخل يقول موجز موجز ذبحني وهو يقول موجز ابي اشوف تعليقات صوري مو قادر ارجو اعادة التحديث القديم والله كان احسن شى
Negative,لايفتح الفديوا والصور!!! بعض الفديوات انحذف فيها خاصية الصوت ××× والصور بعد اذا علق ماتتحمل يعلق طول الوقت لين تصكر البرنامج من الرام وترجع تفتحه من جديد .... كنت اشك بسرعة النت وهو بريء
Negative,لا اله الا الله يا اخي كنت في البرنامج وخرج من البرنامج ورجعت ادخل يقول سجل حسابك سجلته يقول ابعث رسالة او حاول مجددا ارجو من المصمم حل المشكلة الرجاء الرد على الايميل
Negative,حرام اعطيه خمس نجوم لانها بتبقى الين يوم القيامة ليه عطيته واحد عشان ما اقدر اشيل النجمة
Negative,مشكلة البلوك بصراحة واجهة مشكلة وهي البلوك .. اذا جيت بعلق على شي قالي بلوك وارسلت ابلاغ وكل شي ولا في فايدة يضل بالايام مبلكني م اقدر اعلق على شي ياريت تحلون ه المشكلة
Negative,اكو مشكلة ما اكدر اعلق ليش بلكت تحلون هاي المشكلة وما اكدر اسوي فلو بس اسوي ينلغي وحدة ارجو حل المشكلة
Negative,ما قدر أعلق علي الصوره اول كان احسن كان فيه نسخ الرابط وكل شي دحين صار معفن ومااقدر أعلق علي اي شي حتي صوري انا منزلها مااقدر اكتب فيها شي يقلي بلوك ومدري ايش كيتبلي كلام كثير هذا من اليوم العصر وكذا عندي اتمني تحلو المشكله
Negative, البرنامج زين بس في شئ ناقص ما ينزل صور وإلى فيديو والتشغيل الفيديو بطئ ارجو الرد
Negative,مشاكله واجد ليش لما اسجل الاكاونت يرفض يكتب هناك خطاء غير معروف والمشكله الثانيه ماقدر اعلق 😞 ارجو ان تصلحو الاخطاء هذي و شكراً
Negative,عندي مشكلة بذات بحساب المشاهير لاجيت اكتب بالكومنت وارسلتها ماتروح ، يجيني كلام بالانقليزي وتحت مكتوب اوكي او ابلاغ عن هذه المشكلة . فهنا انا مااقدر ارسل الرسالة بالكومنت . ارجو اصلاح هذه المشكلة . لاني لست الاولى ولا الاخيرة ممن يعانون من هذه المشگلة .
Negative,صاير موزين لاكدر افتح صوره ولافديوا الانترنيت زين يمي وكول برامج تفتح بس الانستا ليش هيج
Negative,تحديث فاشل يا اخي اريد افهم غير تحديث يصلحون فيه الاخطاء هذا تحديث الي نزل هوا اصلآ كله اخطآ وعيوب وفشل
Negative,اشبكم ليش الانستقرام ما يشتغل انا مان متابعيني 1000 ونحذف ليش الناس كلهم يشتكون منكم الله يسعدكم رجعو بليززززززززززز ارجعوكم ليش حراااام
Negative,مشكله في الصور اذا فتحت حساب احد او دخلت هاشتاق او حتى اللي متابعهم ماتطلع لي الصور يعلق مع ان النت قوي
Negative,فاشل فاشل ما يحمل صور ولا مقاطع الفيديو و بالكوة ازيد متابعين و كلة بالانكليزي كان عندي حساب متابعيني 900 وهسة عدت من الصفر بسبب تهكير حسابي القديم ممكن تساعدوني
Positive,عاشقة الهند واو روعة جدا أنصحكم تنزلوه واللي يقول غير هيك مابيفهم واللي اتهكر حسابو معناتها ان في احد تاني اخذه وماتقدر ترجعه غير الا ازا كنت عبقري متلي😇
Negative,حسابي كان الانستغرام اكثر من روعة ولكن حاليا اواجه مشكلة لا استطيع عمل فولو لاي شخص مع اني حذفت التطبيق وغيرت كلمة السر ولكن لا فائدة .ارجو حل هذه المشكلة
Negative,سئ جدا من افشل التحديثات اذا تصفحت الانتسغرام مايعطين الصور بالترتيب يجيب لي اول شي قبل يومين وبعده قبل ساعاتين والي بعده يجيك قبل يوم حووووسه ماينفع فاشل جدا جدا جدا هالتحديث غير انهم غييروا الايقونه وصار خايس
Negative,الله يلعن برنامجكم المخيس التحديث الأخير مخيس ما يخليني ابحث عن الناس التحديث فاشل بقوه مايبحث الي اسمهم باللغه عربيه
Positive,رووووووووعه رووووووعه
Positive,ممتع تطبيق رائع ممتع مافيه مشاكل
Positive,رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع رائع
Positive,البرناااااامج روعة روعه روعه روعه روعه روعه روعه روعه روعه روعه روعه روعه روعه يستحق5 نجوووووم بجدارة😍😍💕💏
Positive,روعة روعة انصحكم تنزلو هذا البرنامج ولا اروع بس فيه مشكلة بسيطة لما تريد تضيف صور فيه لازم تضيف وحدة وحدة يعني ما يصير مجموعة مع بعض ارجو حل المشكلة
Negative,حرااام اشذا كل ما ابي اعلق نبلكوني خييير ابي اكتب انا اش ذا عشان كذا حطيت نجمه بعدين اصلا ليه تبلكون كيفي كييييفي اعلق ع كييييفي انشاءالله اكتب خرابيط تبلكوني مو منحقكم ما سويت شي غغلللط.... اف منكم انتو وتحديثاتكم الي زي وجهكم استغفر الله بس...كشش 👐
Negative,بعض الاخطاء ١- من اطي شخص بلوك يكدر يشوفني بس ميشوف شنشر وهالشي منريده كون ميشوفني ابد.. ٢-منكدر ننسخ الكلام ولا نحفظ الصور ٣-من تعلق اكثر من ١٠ مرات تنحضر يوم كامل ،،٤-بالخاص متنرسل الصوره كامله .. لو ما ذني جان هو احلا برنامج 💜💜
Positive,جمييييييييييييل جدا يستحق 100 نجمه... بس لو يحط خيار حفظ الصور او المقاطع⚘😚
Positive,اعطاء رائي كنت اكره هذا البرنامج لكن عند استخدامي له احببته بعض الشيء انا عطيت 3 نجمات لــ سبب قلت الحمايه الموجوده لانه سهل الأخــتراق.. وشكرا
Negative,التحديث الجديد فاشل بمعنى الكلمه لا يمكننى مشاهده الفيديوهات ارجو حل المشكلة
Negative,كان ممتاز بعد آخر تحديث صار ما حلو ،،صار ما يظهر الصور والفيديو حسب الوقت مثل اول، يخبصهن يعني شي مال دقيقه بعدين مال ساعه بعدين 5 دقايق بعدين مال 12 ساعه وكذا، ، ما نقدر نتابع صح كذا ،، اتنمـﯽ حل المشكله بأسرع وقت..
Negative,سيئ جدا بعد التحديث اةل شي مايطلع صو وزباله وزفت رح احزفو هل برنامج افشل من الفشل يع منزلتة عالفاضي صور تطلع بيضا عندي والفيديو وهل خلل بعد اخر تحديث زباله
Positive,جميل جدا لماذا ﻻيكون فيه تعديل بالكتابه بعد الارسال احيانا يكون فيه غلط املائي بعد الارسال برنامج ممتاز شكرا
Negative,أصبح لدي الواتساب يشكل مشكلة كبيرة حيث أنني عندما أقوم بارسال مقطع فيديو إلى أحد الأشخاص قمت بتصويره بكاميرا الهاتف فإنه يبدأ بالتحميل ثم يتوقف وتظهر رسالة تقول بأنه لا توجد مساحة كافية على القرص لديك ومن ثم يختفي الفيديو من الاستوديو ولا أستطيع إيجاده فما هو الحل يا ترى !!!؟؟؟
Negative,نبي تحديث منطقي مثلا (خيار تغيير الثيم+الأمجوي يجيب أن تكون متحركة+شكل الدردشة يجب تغييره بسبب أصبح قديما) عاد انتو وبرنامجكم + ماله داعي تحديثاته دام الشكل وثيمات غير متوفرة فيه ومافي شيء متغير فيه الا الأشياء الإفتراضية نجمة وحدة لسبب انه اصبح قديم ولم يتجدد فيه شيء
Positive,شكرا لكم مهما كان من تطوير نرغب بالافضل خدمة الواتساب مازالت هي الأفضل من بين خدمات التواصل الاجتماعيه وشي طبيعي أن يكون هناك مطالبات من قبل المشتركين في التطوير لأن الواتساب عودتهم على الاميز والافضل والأجمل-يستاهل 10 نجوم نخترق التقييم
Negative,تعليق على البرمج الواتساب أوكية لكن نعاني من كثرة الإعلانات الي تكون في البداية مفرح والنهاية نعيش على أمل كاذب وبعدين واتساب بلس أفضل بكثير من هذا البرمج الذي لايتغير مع مرور الزمن يبقى كما هو
Negative,مشكلة في اتصال الواتس لا استطيع استقبال مكالمات الواتس اب او ارسالها رغم انه يصدر رنين واقوم بالضغط على ايقونة الفتح ولكن لا يتم فتح المكالمة .اجريت جميع التحديثات المتاحة للواتس ولا تزال المشكلة قائمة . هل تمنع برامج مثل كلين ماستر او دكتور البطارية اتصال الواتس؟
Positive," البرنامج الاروعه الذي يربط جميع الاهل و الاصدقاﺀ و الاحباب "" وتواصل معاهم بشكل سريع ومستمر الذي مستحيل نتخلا عنه في اي يوم برنامج يستاهل اكثر من خمس نجوم وشكرآ"
Negative,فااااااااشل .. يعلق .. يهنج .. سيء .. بعد التحديثات الاخيره .. البرنامج اصبح يهنج ويعلق وفاشل في ارسال المقاطع انصح الجميع ببرنامج التليقرام افضل بكثير ونحن بانتظار تحسين التطبيق من قبل الشركه .. حتى تااااااااريخه لم يتم اصلاح تاخر ارسال المقاطع والصور .. وسلامتكم
Positive,ممتاز بس لو يضيفون له المترجم للغة حتي يترجم اﻹنجلزية لي عربي والعكس وهذا التطورات في الضفة اللغة الإنجليزية لي العربية
Positive,بحبة كلش لاكن في شغلة ثانية انو اذا اسوي اخر ظهور يعني مثلا الغي الظهور اسوي مخفي ليش الباقين هم ينلغون وياية اريد بس اني لان مثلا احتاج انو اشوف مرات ومال اارسائل ايضا نفس الحالة ارجوا التحديث 👍
Negative,أكره التطبيق.. فاشل جدآ لانه ما تقدر تحافظ على خصوصيتك فيه.. برنامج فاشل لا انصح فيه احد.. اتمنى يتم الغائه نهائيا من على الاندرويد او تجعله برسوم عشان مو كل الأشخاص يستخدموه..
Negative,مشكلة Whatsapp الواتساب كان يشتغل بشكل جيد............................ ثم توقف فجأة ولا اعرف ما هو سبب وقوفه
